name,institute
Abul Hasnat,"Government College Of Engineering And Textile Technology, Berhampore, India"
Akram Zeki,"International Islamic University, Malaysia"
Aleena Swetapadma,"Kalinga Institute of Industrial Technology, India"
Alfredo Rial,"University of Luxembourg, Luxembourg"
Amit Phadikar,"MCKV Institute of Engineering, India"
Amitava Nag,"Central Institute of Technology, Kokrajhar, India"
Anirban Sarkar,"National Institute of Technology Durgapur, India"
Aniruddha Nag,"Computer Society of India, India"
Ankita Pramanik,"Indian Institute of Engineering Science and Technology Shibpur, India"
Anurag Singh,"National Institute of Technology Delhi, India"
Anwesha Mukherjee,"West Bengal University of Technology, India"
Archana Balmik,"National Institute of Technology Rourkela, India"
Arif Ahmed,"University of Norway, Tromsø, Norway"
Arindam Biswas,"Indian Institute of Engineering Science and Technology Shibpur, India"
Ashok Kumar Das,"International Institute of Information Technology Hyderabad, India"
Ashok Kumar Mehta,"National Institute of Technology Jamshedpur, India"
Asish Bera,"Edge Hill University, United Kingdom"
Asit Das,"Indian Institute of Engineering Science and Technology Shibpur, India"
Avishek Adhikari,"Presidency University Kolkata, India"
Axel Küpper,"Technische Universität Berlin, Germany"
Baisakhi Chakraborty,"National Institute of Technology Durgapur, India"
Bibhas Chandra Dhara,"Jadavpur University, India"
Bidyut Kumar Patra,"National Institute of Technology Rourkela, India"
Biswapati Jana,"Vidyasagar University, India"
Bivas Mitra,"Indian Institute of Technology Kharagpur, India"
Bok-Min Goi,"Universiti Tunku Abdul Rahman, Malaysia"
Bubu Bhuyan,"North-Eastern Hill University, Shillong, India"
Cem Taşkın,"Trakya University, Turkey"
Chanchal Patra,"Maulana Abul Kalam Azad University of Technology, India"
Chandan Giri,"Indian Institute of Engineering Science and Technology Shibpur, India"
Chandra Prakash,"National Institute of Technology Delhi, India"
Chandrasekhar Azad,"National Institute of Technology Jamshedpur, India"
Chinmoy Ghorai,"Siksha 'O' Anusandhan University, India"
Christina Boura,"Université de Versailles Saint-Quentin-en-Yvelines, France"
Chunpeng Ge,"Nanjing University of Aeronautics and Astronautics, China"
D P Dogra,"Indian Institute of Technology Bhubaneswar, India"
